rank	from_class	to_class	distance	from_label	to_label
1	519	520	0.6099	Probabilities and applied mathematics	Astronomy
2	709	710	0.6045	History, geographic treatment, biography	Area planning and landscape architecture
3	659	660	0.5751	Advertising and public relations	Chemical engineering
4	139	140	0.5569	Phrenology	Philosophical schools of thought
5	002	003	0.5482	The book (writing, libraries, and book-related topics)	Systems
6	098	100	0.5410	Prohibited works, forgeries, and hoaxes	Philosophy
7	399	400	0.5359	Customs of war and diplomacy	Language
8	799	800	0.5301	Fishing, hunting, shooting	Literature, rhetoric and criticism
9	359	360	0.5297	Sea forces and warfare	Social problems and social services
10	619	620	0.5227	No longer used—formerly Experimental medicine	Engineering
11	389	390	0.5218	Metrology and standardization	Customs, etiquette and folklore
12	656	657	0.5171	(656 no label)	Accounting
13	931	932	0.5146	China to 420	Egypt to 640
14	135	136	0.5132	Dreams and mysteries	No longer used — formerly Mental characteristics
15	529	530	0.5101	Chronology	Physics
16	639	640	0.5099	Hunting, fishing, conservation, related technologies	Home and family management
17	952	953	0.5093	Japan	Arabian Peninsula and adjacent areas
18	179	180	0.5027	Other ethical norms	Ancient, medieval, and Eastern philosophy
19	158	160	0.4978	Applied psychology	Philosophical logic
20	319	320	0.4973	General statistics of Australasia, Pacific Ocean islands, Atlantic Ocean islands, Arctic islands, Antarctica	Political science
21	396	398	0.4971	No longer used — formerly Women's position and treatment	Folklore
22	989	990	0.4969	Paraguay and Uruguay	History of other areas
23	365	366	0.4914	Penal and related institutions	Secret associations and societies
24	929	930	0.4891	Genealogy, names, insignia	History of ancient world (to c. 499)
25	499	500	0.4833	Non-Austronesian languages of Oceania, Austronesian languages, miscellaneous languages	Science
26	169	170	0.4782	Analogy	Ethics
27	609	610	0.4764	History, geographic treatment, biography	Medicine and health
28	649	650	0.4754	Child rearing; home care of people with disabilities and illnesses	Management and public relations
29	419	420	0.4738	Sign languages	English and Old English languages
30	779	780	0.4726	Photographic images	Music
